BANCO,CONTA CORRENTE,FONTE DE RECURSO,PROGRAMAS E CONVÊNIOS,DESCRIÇÃO,SECRETARIA,N° SEI,OBSERVAÇÕES,RESPONSÁVEL
BANCO DO BRASIL,141588-3,1267,Transferência Especial,Emenda Parlamentar nº 202433320005 - Ricardo Barros,SELURB,SEI EXECUÇÃO 65107/2024.02,"PL Ação 09032024-068942 // 835792 - Aquisição de equipamentos e veículo R$ 835.792,00",CAMILA
BANCO DO BRASIL,141589-1,1268,Transferência Especial,Emenda Parlamentar nº 202445000004 - Welter,SESP,SEI EXECUÇÃO 67285/2024.75,PL Ação 09032024-068194 / 2024 // 1000000,CAMILA
BANCO DO BRASIL,135012-9,31195,SIT 54081,TC 203 Pavimento de pedras irregulares estrada do Paulo Guerra - 203/2022 TERMO DE CONVÊNIO 203 181045396/2022,SETRAB,SEI EXECUÇÃO 00046581/2025.05,aguardando análise da PCF,CAMILA
BANCO DO BRASIL,134018-2,31181,SIT 51429,TC 617/2021 - Construção e Implantação Cozinha Central,SAS/SEMOP,SEI EXECUÇÃO 74164/2023.03 OBRA// SEI EXECUÇÃO 66300/2024.03 EQUIPAMENTOS,"R$ 3.483.327,44",ERICK
BANCO DO BRASIL,139086-4,31225,SIT 60511,SECID - TC 326/2023 - Eixo monumental,SEMOP,SEI EXECUÇÃO 83350/2023.10,"R$ 20.000.000,00 - depositamos 2 mil a menos de CTP pq Beatriz se antecipou com o fornecedor enviando planilha",CAMILA
BANCO DO BRASIL,140130-0,1244,SIT 62214,TC 007/2023 – Construção de Ambientes Promotores de Inovação - Coworking - Paraná Cidade,AMTECH,00074353/2023.41,,CLÁUDIA
BANCO DO BRASIL,144525-1,1291,SIT 73730,TC 349/2025 – Aquis. de Equip. Rodov. p/ manutenção de estradas rurais,SETRAB,SEI EXECUÇÃO 115123/2025.34,"R$ 3.700.000,00",ERICK
BANCO DO BRASIL,145.314-9,1363,SIT 74898,SEAB -TC 569/2025 - Aquisição de equipamentos agrícola - PPMC III - Pá Carregadeira,SETRAB,SEI EXECUÇÃO 01.29.00140800/2025.14,Pá Carregadeira - Plano Paraná Mais Cidades III - SEAB,CAMILA
BANCO DO BRASIL,145686-5,??,,Marcha para Jesus,SAET,01.04.00094629/2025.51,C.C. cancelada,ERICK
BANCO DO BRASIL,145703-9,1372,SIT 76113,SECID -TC 1065/2025 – Recuperação da Ponte Mandacaru,SETRAB,SEI EXECUÇÃO 157133/2025.82,"R$ 2.010.150,52 - Recuperação de Ponte da Estrada Rural Ribeirão Mandacaru",CAMILA
BANCO DO BRASIL,145685-7,1374,SIT 76115,TC 1064/2025 - Aquisição de Veículo – Tipo Sedan,SEJUC,Processo nº 01.31.00095462/2025.88,"automóvel sedan, no valor de R$115.000,00",CLÁUDIA
BANCO DO BRASIL,145679-2,1370,SIT 76114,SECID -TC 1145/2025 – Aquisição de véiculo,SECRIANÇA,SEI EXECUÇÃO 01.04.00160635/2025.70 Formalização 01.34.00083936/2025.52,aquisição de 01 (um) veículo hatch,CAMILA
BANCO DO BRASIL,145382-3,1367,SIT 75114,TC 125/2025 – Aquisição de 2 Veículos – Tipo Sedan,SSM,SEI EXECUÇÃO 143377/2025.48,"R$ 210.000,00Pedirá depósito de CTP: cfe doc no SEI",CAMILA
BANCO DO BRASIL,145374-2,1362,SIT 75115,SECID -TC 126/2025 – Aquisição de Veículo – Tipo Pick up,SAS,SEI EXECUÇÃO 01.04.00164207/2025.44 Formalização: 88238/2023.51,"Pedirá depósito de CTP: R$ 28.192,50 cfe doc 6451667 no SEI",CAMILA
